City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
sakata,51,JP,1617053622,81,38.9167,139.855,50.29,4.72
kruisfontein,24,ZA,1617053623,83,-34.0033,24.7314,66.99,4.0
yendi,37,GH,1617053623,14,9.4427,-0.0099,88.84,4.03
clarence town,20,US,1617053623,60,42.9767,-78.592,41.0,14.97
saint-francois,0,FR,1617053611,62,46.4154,3.9054,50.0,2.3
ponta do sol,75,PT,1617053624,94,38.7333,-28.2667,59.0,23.02
leningradskiy,100,RU,1617053600,92,69.3833,178.4167,-1.01,14.81
maragheh,0,IR,1617053624,52,37.3917,46.2398,39.2,11.5
marrakesh,75,MA,1617053505,43,31.6315,-8.0083,69.8,8.05
bagdarin,98,RU,1617053624,95,54.4333,113.6,12.96,2.33
alta floresta,90,NO,1617053329,70,69.9689,23.2717,37.4,17.27
lujiang,100,CN,1617053625,58,31.2581,117.2817,60.01,6.71
manta,90,EC,1617053625,74,-0.95,-80.7333,80.6,3.44
sur,26,OM,1617053625,38,22.5667,59.5289,83.43,6.29
baruun-urt,100,MN,1617053501,26,46.6806,113.2792,37.53,11.54
maragogi,46,BR,1617053626,81,-9.0122,-35.2225,79.14,7.85
sarangani,100,PH,1617053222,90,5.4033,125.4636,77.0,1.59
balsas,94,BR,1617053626,82,-7.5325,-46.0356,77.23,2.93
semenivka,80,UA,1617053626,88,52.1783,32.5818,34.48,7.47
lerwick,90,GB,1617053398,93,60.1545,-1.1494,42.8,9.22
san javier,0,ML,1617053627,7,13.3034,-4.8956,85.75,9.35
lixourion,66,GR,1617053627,82,38.2019,20.4314,57.92,12.3
fare,14,PF,1617053627,72,-16.7,-151.0167,82.18,15.57
port lincoln,96,CD,1617053335,73,-7.0349,29.7638,72.46,5.1
ahar,16,IR,1617053628,85,38.4774,47.0699,35.98,5.35
chanute,1,US,1617053524,27,37.6792,-95.4572,75.2,24.16
bonthe,87,SL,1617053628,85,7.5264,-12.505,79.39,6.93
autun,0,FR,1617053628,62,46.95,4.3,53.01,2.3
hamilton,1,US,1617053512,31,39.1834,-84.5333,60.01,13.8
dunedin,100,NZ,1617053523,85,-45.8742,170.5036,57.99,7.0
svetlogorsk,100,BY,1617053629,79,52.6333,29.7333,41.27,5.39
cascais,0,PT,1617053629,59,38.6979,-9.4215,66.2,4.61
ust-kuyga,100,RU,1617053630,99,70.0167,135.6,-1.62,4.83
chengde,4,CN,1617053630,33,40.9725,117.9361,41.02,3.15
nam tha,85,CN,1617053630,53,29.424,90.9129,36.7,6.38
comodoro rivadavia,40,BR,1617053630,91,-13.6631,-59.7858,72.0,4.38
cairns,100,AU,1617053590,65,-16.9167,145.7667,78.8,14.97
dali,0,CN,1617053631,48,25.7,100.1833,46.56,5.91
taoudenni,78,ML,1617053631,5,22.6783,-3.9836,83.07,11.39
shepetivka,9,UA,1617053201,66,50.1855,27.0637,38.95,2.24
rulenge,100,TZ,1617053632,93,-2.7175,30.6325,62.37,2.48
preobrazheniye,0,RU,1617053236,86,42.9019,133.9064,34.63,6.26
qostanay,75,KZ,1617053632,93,53.1667,63.5833,24.8,4.47
huilong,100,CN,1617053632,99,31.8111,121.655,57.99,1.01
lebedinyy,100,RU,1617053632,96,58.5167,125.5167,11.1,2.33
thyboron,27,DK,1617053633,3,56.6985,8.2124,48.99,4.0
nemuro,60,JP,1617053633,86,43.3236,145.575,39.27,18.34
san jose,0,ML,1617053068,7,13.3034,-4.8956,87.4,8.93
kloulklubed,75,PW,1617053633,94,7.0419,134.2556,77.0,3.44
honningsvag,24,NO,1617053634,78,70.9821,25.9704,35.28,14.25
christchurch,90,NZ,1617053589,82,-43.5333,172.6333,62.01,3.44
aksarka,100,RU,1617053634,95,66.5606,67.7975,15.66,7.31
melnikovo,100,RU,1617053635,92,56.5558,84.085,19.0,3.0
zhumadian,23,CN,1617053635,72,32.9794,114.0294,49.51,5.37
lima,0,PE,1617053532,68,-12.0432,-77.0282,75.0,10.36
sao felix do xingu,94,IN,1617053396,18,20.5113,76.2129,81.16,11.25
oranjemund,0,NA,1617053503,88,-28.55,16.4333,60.21,3.38
aykhal,100,RU,1617053635,96,66.0,111.5,15.17,4.45
haines junction,90,US,1617053636,69,59.2286,-135.4441,33.8,2.44
jimenez,75,MX,1617053636,19,28.3333,-105.4,77.0,9.22
winneba,40,GH,1617053636,89,5.3511,-0.6231,82.4,9.22
lubumbashi,29,CD,1617053636,98,-11.6609,27.4794,60.58,4.27
zhangjiakou,99,CN,1617053197,24,40.81,114.8794,41.88,3.76
manado,20,ID,1617053393,94,1.487,124.8455,75.2,1.14
novouzensk,100,RU,1617053637,90,50.4592,48.1431,31.91,9.89
imeni poliny osipenko,96,NG,1617053637,78,7.3199,5.9646,78.22,7.54
mana,93,GF,1617053637,88,5.6592,-53.7767,77.25,13.44
matiari,20,PK,1617053638,61,25.5961,68.4467,77.0,4.61
coahuayana,75,MX,1617053236,34,18.7333,-103.6833,84.2,8.21
saint-joseph,0,RE,1617053638,78,-21.3667,55.6167,77.0,6.91
pierrelatte,0,FR,1617053638,76,44.3776,4.702,53.01,4.61
yenagoa,72,NG,1617053639,85,4.9247,6.2642,78.33,5.1
tecoanapa,69,MX,1617053639,55,16.5167,-98.75,85.1,12.8
rauma,75,FI,1617053639,93,61.1272,21.5113,44.6,12.66
fuerte olimpo,6,PH,1617053640,80,17.5381,120.3644,77.68,3.04
lupsanu,30,RO,1617053640,39,44.3833,26.9,46.0,5.01
mbanza-ngungu,100,CD,1617053640,94,-5.25,14.8667,68.36,3.27
canasgordas,100,CO,1617053640,93,6.7499,-76.0254,68.04,2.82
mehamn,0,NO,1617053320,80,71.0357,27.8492,37.4,13.8
nanortalik,66,GL,1617053641,56,60.1432,-45.2371,27.43,3.87
alice springs,90,US,1617053641,49,27.7523,-98.0697,75.2,13.8
nioro,3,GM,1617053487,44,13.35,-15.75,79.0,8.59
sola,75,VU,1617053524,84,-13.8833,167.55,84.2,5.75
victor harbor,7,US,1617053642,51,42.9826,-77.4089,45.0,4.0
williams lake,75,CA,1617053473,50,52.1415,-122.1445,37.99,4.61
cape canaveral,0,CL,1617053541,46,-36.413,-71.9028,75.2,11.5
magomeni,40,TZ,1617053642,89,-6.8,39.25,78.8,6.91
sadao,75,TH,1617053642,100,6.6388,100.4234,77.0,1.72
lazarev,100,RU,1617053643,97,52.225,141.5131,30.18,9.44
suining,100,CN,1617053643,71,30.508,105.5733,65.32,3.74
inirida,94,CO,1617053532,90,3.8653,-67.9239,79.38,0.89
nador,90,MA,1617053644,88,35.174,-2.9287,60.8,8.05
birjand,0,IR,1617053644,26,32.8663,59.2211,42.8,9.22
puri,40,IN,1617053644,94,19.8,85.85,78.8,10.36
abatskoye,87,RU,1617053644,98,56.2875,70.4555,5.13,6.08
fairbanks,90,US,1617053405,80,64.8378,-147.7164,30.0,8.05
byron bay,1,US,1617053337,32,44.0327,-92.6455,68.0,28.77
saveh,1,IR,1617053645,32,35.0213,50.3566,51.22,4.68
khandbari,83,NP,1617053645,29,27.3747,87.2039,64.72,4.59
buchanan,75,LR,1617053645,83,5.8808,-10.0467,82.4,3.87
porto walter,0,PT,1617053236,77,41.1496,-8.611,63.0,6.29
teya,100,RU,1617053646,99,60.3778,92.6267,8.01,1.03
xuddur,34,SO,1617053646,71,4.1213,43.8894,76.26,16.67
lata,16,PT,1617053058,83,40.1629,-8.3327,60.01,3.42
mitsamiouli,19,KM,1617053646,68,-11.3847,43.2844,82.9,7.56
sobolevo,100,RU,1617053540,99,54.4299,31.8996,35.42,8.01
naliya,23,IN,1617053647,84,23.2667,68.8333,76.68,12.57
labuan,20,MY,1617053647,100,5.2767,115.2417,77.0,3.29
ahuimanu,40,US,1617053647,51,21.4447,-157.8378,82.4,14.97
san cristobal,0,ML,1617053622,7,13.3034,-4.8956,85.75,9.35
ferkessedougou,27,CI,1617053648,27,9.6,-5.2,86.54,5.57
sakakah,0,SA,1617053648,17,29.9697,40.2064,59.0,8.05
najran,2,SA,1617053616,32,17.4924,44.1277,66.2,3.38
souillac,20,MU,1617053638,88,-20.5167,57.5167,75.2,6.91
guerrero,20,MX,1617053649,20,17.6667,-100.0,89.67,4.38
chupa,100,RU,1617053649,97,66.27,33.0549,35.44,12.57
brenham,40,US,1617053649,33,30.1669,-96.3977,75.2,6.91
umbauba,46,BR,1617053649,85,-11.3833,-37.6578,75.72,6.46
shimoda,34,JP,1617053472,90,34.6667,138.95,63.0,1.63
sakaraha,0,MG,1617053650,84,-22.9,44.5333,64.99,4.97
jieshi,47,CN,1617053650,94,22.8134,115.8257,77.0,1.01
kozluk,0,TR,1617053269,75,38.1938,41.4885,41.0,2.3
esmeraldas,75,BR,1617053237,78,-19.7625,-44.3139,71.6,5.75
wasilla,90,US,1617053650,75,61.5814,-149.4394,35.01,2.8
lesnoy,21,RU,1617053651,96,57.6198,63.0784,14.25,2.48
namatanai,99,PG,1617053651,73,-3.6667,152.4333,82.38,6.2
mocuba,31,MZ,1617053256,95,-16.8392,36.9856,67.55,4.27
bintulu,20,MY,1617053651,94,3.1667,113.0333,77.0,4.61
trofaiach,75,AT,1617053652,57,47.4167,15.0,54.0,4.61
kyzyl,100,RU,1617053652,91,51.7,94.45,25.74,2.19
tarakan,100,ID,1617053652,79,3.3,117.6333,79.59,3.87
neustadt,20,DE,1617053653,75,49.7117,12.0872,44.01,1.43
kenai,1,US,1617053653,86,60.5544,-151.2583,42.8,13.8
lalmohan,5,BD,1617053532,88,22.3384,90.7419,78.98,13.91
luwuk,100,ID,1617053544,84,-0.9516,122.7875,77.45,1.86
lodwar,63,KE,1617053653,34,3.1191,35.5973,89.22,14.36
shingu,28,JP,1617053195,76,33.7333,135.9833,55.15,4.25
hay river,0,GB,1617053654,92,52.0705,-3.1274,46.99,5.14
valley city,90,US,1617053526,40,45.1277,-116.1262,35.01,11.5
ornskoldsvik,53,SE,1617053654,87,63.2909,18.7153,39.2,14.97
singkang,20,MY,1617053654,94,2.1006,102.7994,77.0,0.67
berlevag,0,NO,1617053127,80,70.8578,29.0864,32.0,13.8
